symbol,trade_date,bar_time,clock_time,proxy_action_label,forward_return_5,max_favorable_return_5,max_adverse_return_5,push_efficiency,close_vs_vwap,close_location,late_session_integrity_score,burst_then_fade_score,reclaim_after_break_score
300308,2026-03-24,2026-03-24 13:53:00,13:53:00,hold_probe,3.408e-05,0.00049416,-0.00318645,0.43939394,6.225e-05,0.74242424,0.0,0.00057902,0.00030702
300308,2026-03-24,2026-03-24 13:54:00,13:54:00,hold_probe,-0.00160218,0.0003068,-0.00291461,-0.30188679,-0.00033406,0.1509434,0.0,0.00059771,-0.00068159
300308,2026-03-24,2026-03-24 13:55:00,13:55:00,hold_probe,0.00160667,0.00311079,-0.00011965,-0.9673913,-0.00204907,0.0326087,0.0,0.00438677,-0.00569286
300308,2026-03-24,2026-03-24 13:56:00,13:56:00,add_probe,0.00269721,0.00271428,-0.0001195,0.8625,-0.00032324,1.0,0.0,-0.0,0.00112809
300308,2026-03-24,2026-03-24 13:57:00,13:57:00,hold_probe,0.00194592,0.0026287,-0.00015363,0.11111111,-0.00022115,0.44444444,0.0,0.00014292,-3.414e-05
300308,2026-03-24,2026-03-24 13:58:00,13:58:00,hold_probe,0.0019084,0.00359528,-0.00192544,0.84684685,0.00152833,1.0,0.0,-0.0,0.00165574
300308,2026-03-24,2026-03-24 13:59:00,13:59:00,hold_probe,0.00228763,0.0055142,-1.707e-05,-0.98230088,-0.00041617,0.00884956,0.0,0.00171769,-0.00383383
300308,2026-03-24,2026-03-24 14:00:00,14:00:00,hold_probe,0.00293515,0.00510239,3.413e-05,0.29032258,-1.68e-05,0.40322581,0.0,0.00056731,0.00039265
300308,2026-03-24,2026-03-24 14:01:00,14:01:00,hold_probe,-0.00015323,0.00275806,-0.00148118,0.99264706,0.00219093,0.99264706,0.0,2.316e-05,0.00233788
300308,2026-03-24,2026-03-24 14:02:00,14:02:00,hold_probe,-0.00076664,0.00342431,-0.00098811,-0.43678161,0.00139581,0.55172414,0.0,0.00058395,-0.00214516
300308,2026-03-24,2026-03-24 14:03:00,14:03:00,hold_probe,-0.00170068,1.701e-05,-0.00280612,0.43277311,0.00265176,0.58403361,0.0,0.00279767,0.00110736
300308,2026-03-24,2026-03-24 14:04:00,14:04:00,hold_probe,0.00350877,0.00473514,-0.00127747,-0.64748201,0.00095698,0.34532374,0.0,0.00180219,-0.00387755
300308,2026-03-24,2026-03-24 14:05:00,14:05:00,hold_probe,0.00217791,0.00367522,-0.00233104,0.70454545,0.00194096,0.93181818,0.0,7.604e-05,0.00071538
300308,2026-03-24,2026-03-24 14:06:00,14:06:00,hold_probe,0.00223062,0.00442719,-0.00158357,-0.76923077,0.00102601,0.0,0.0,0.00125851,-0.00149731
300308,2026-03-24,2026-03-24 14:07:00,14:07:00,hold_probe,0.00398957,0.00571156,-0.00030689,-0.84705882,-0.00025193,0.15294118,0.0,0.00116128,-0.00277551
300308,2026-03-24,2026-03-24 14:08:00,14:08:00,add_probe,0.0065247,0.00701874,-0.000477,0.57142857,0.00052494,0.77380952,0.0,0.00029214,0.00049443
300308,2026-03-24,2026-03-24 14:09:00,14:09:00,add_probe,0.0029873,0.00342861,-0.0019689,0.6835443,0.00396417,0.7721519,0.0,0.00183285,0.00320273
