raw_file,raw_row_count,raw_coverage_start,raw_coverage_end,extends_beyond_2024
akshare_index_daily_bars_bootstrap.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v0.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v1.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v2_refresh.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v2_seed.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v3_factor_diversity_seed.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v4_carry_row_diversity_refresh.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v5_carry_row_diversity_refresh.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_market_research_v6_catalyst_supported_carry_persistence_refresh.csv,726,2024-01-02,2024-12-31,False
akshare_index_daily_bars_research_v1.csv,726,2024-01-02,2024-12-31,False
tushare_index_daily_bars_extension_v1.csv,1872,2023-09-01,2026-04-03,True
