signal_trade_date,execution_trade_date,symbol,severity_tier,supervision_label,minute_index,minute_ts,visible_at_ts,bar_open_px,bar_high_px,bar_low_px,bar_close_px,bar_volume,bar_amount,bar_first_visible_ts,bar_source_cutoff_ts,ret_1m_lag1,ret_3m_lag1,ret_5m_lag1,draw_from_open_lag1,draw_15m_lag1,draw_30m_lag1,close_location_lag1,path_feature_first_visible_ts,path_feature_source_cutoff_ts,phase_state_visible,phase_state_first_visible_ts,phase_state_source_cutoff_ts,event_state_visible,event_state_first_visible_ts,event_state_source_cutoff_ts,pre_open_event_status,pre_open_status_first_visible_ts,pre_open_status_source_cutoff_ts
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,1,2025/11/18 09:30,2025/11/18 09:30,27.8,27.8,27.8,27.8,259.0,720020.0,2025/11/18 09:30,2025/11/18 09:30,,,,,,,,2025/11/18 09:30,,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,2,2025/11/18 09:31,2025/11/18 09:31,27.7,27.85,27.5,27.54,1748.0,4834194.0,2025/11/18 09:31,2025/11/18 09:31,,,,0.0,0.0,0.0,,2025/11/18 09:31,2025/11/18 09:30,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,3,2025/11/18 09:32,2025/11/18 09:32,27.53,27.53,27.35,27.47,871.0,2392354.0,2025/11/18 09:32,2025/11/18 09:32,-0.009352517985611541,,,-0.009352517985611541,-0.011131059245960584,-0.011131059245960584,0.11428571428571138,2025/11/18 09:32,2025/11/18 09:31,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,4,2025/11/18 09:33,2025/11/18 09:33,27.45,27.49,27.38,27.4,1080.0,2962325.0,2025/11/18 09:33,2025/11/18 09:33,-0.0025417574437182067,,,-0.011870503597122384,-0.013644524236983924,-0.013644524236983924,0.23999999999999488,2025/11/18 09:33,2025/11/18 09:32,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,5,2025/11/18 09:34,2025/11/18 09:34,27.4,27.4,27.16,27.31,3050.0,8316933.0,2025/11/18 09:34,2025/11/18 09:34,-0.002548234437568242,-0.014388489208633115,,-0.014388489208633115,-0.016157989228007263,-0.016157989228007263,0.09999999999999432,2025/11/18 09:34,2025/11/18 09:33,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,6,2025/11/18 09:35,2025/11/18 09:35,27.31,27.45,27.2,27.2,1144.0,3125371.0,2025/11/18 09:35,2025/11/18 09:35,-0.003284671532846728,-0.008351488743645663,,-0.017625899280575563,-0.019389587073608716,-0.019389587073608716,0.2173913043478236,2025/11/18 09:35,2025/11/18 09:34,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,7,2025/11/18 09:36,2025/11/18 09:36,27.23,27.29,27.18,27.29,1233.0,3357926.0,2025/11/18 09:36,2025/11/18 09:36,-0.004027828634199926,-0.009828904259191806,-0.021582733812949728,-0.021582733812949728,-0.02333931777378817,-0.02333931777378817,0.05797101449275228,2025/11/18 09:36,2025/11/18 09:35,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,8,2025/11/18 09:37,2025/11/18 09:37,27.27,27.27,27.08,27.1,2793.0,7578516.0,2025/11/18 09:37,2025/11/18 09:37,0.003308823529411864,-0.004014598540145964,-0.009077705156136484,-0.01834532374100728,-0.02010771992818683,-0.02010771992818683,0.18840579710144748,2025/11/18 09:37,2025/11/18 09:36,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,9,2025/11/18 09:38,2025/11/18 09:38,27.08,27.18,27.0,27.0,1830.0,4954413.0,2025/11/18 09:38,2025/11/18 09:38,-0.006962257237083103,-0.00768949102892702,-0.013469239170003533,-0.025179856115107868,-0.026929982046678624,-0.026929982046678624,0.025974025974029927,2025/11/18 09:38,2025/11/18 09:37,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
20251117,20251118,688523,mild_override_watch,ambiguous_non_override,10,2025/11/18 09:39,2025/11/18 09:39,27.02,27.1,26.91,26.91,1293.0,3491584.0,2025/11/18 09:39,2025/11/18 09:39,-0.0036900369003690647,-0.007352941176470562,-0.014598540145985384,-0.02877697841726623,-0.03052064631956919,-0.03052064631956919,0.0,2025/11/18 09:39,2025/11/18 09:38,preheat_window,2025/11/18 09:30,2025/11/18 09:30,event_neutral,2025/11/18 09:30,2025/11/18 09:30,no_decisive_event,2025/11/18 09:30,2025/11/18 09:30
